h_address,h_link,h_ranking_users,h_star,r_average,r_excellent,r_poor,r_terrible,r_very_good
"Calle Muntaner 2 , 08011 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d227463-Reviews-Hotel_Acta_Splendid-Barcelona_Catalonia.html,272,3.0,49,86,18,8,164
"Nicaragua 47 , 08029 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d1103924-Reviews-Hotel_Acta_City47-Barcelona_Catalonia.html,310,4.0,71,107,26,10,164
"Rambla de Catalunya, 24 , 08007 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d489054-Reviews-Onix_Rambla_Hotel-Barcelona_Catalonia.html,251,3.0,29,118,15,6,125
"Pintor Fortuny, 13 , 08001 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d1408080-Reviews-Hotel_Silken_Ramblas_Barcelona-Barcelona_Catalonia.html,280,4.0,131,163,54,39,279
"Av Marques de L'Argentera 11 , 08003 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d234578-Reviews-Park_Hotel_Barcelona-Barcelona_Catalonia.html,254,3.0,56,132,12,9,238
"Roger de Lluria 60 , 08009 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d275098-Reviews-Catalonia_Eixample_1864-Barcelona_Catalonia.html,253,4.0,85,166,34,22,204
"Provencals 10 , 08019 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d229678-Reviews-Attica_21_Barcelona_Mar-Barcelona_Catalonia.html,268,4.0,68,123,13,10,179
"Avenida Icaria 195 , 08005 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d498018-Reviews-Hotel_SB_Icaria_Barcelona-Barcelona_Catalonia.html,305,4.0,151,250,45,29,404
"173 Sant Antoni Maria Claret , Esquina Sant Quintí08041 Barcelona, ",https://www.tripadvisor.com/Hotel_Review-g187497-d234579-Reviews-Amrey_Sant_Pau-Barcelona_Catalonia.html,281,2.0,45,79,9,10,117
"c/ Rosellon 174-176 , 08036 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d8115750-Reviews-BCN_Urban_Hotels_Gran_Rosellon-Barcelona_Catalonia.html,260,4.0,10,27,4,1,25
"Santa Ana 25 , 08002 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d208595-Reviews-Hotel_Cortes-Barcelona_Catalonia.html,297,NaN,47,47,11,10,115
"Paseo Andreu Nin 9 , Heron City08016 Barcelona, ",https://www.tripadvisor.com/Hotel_Review-g187497-d231518-Reviews-Ibis_Barcelona_Meridiana-Barcelona_Catalonia.html,276,2.0,68,62,11,14,139
"Calle Diputacion, 142 , 08015 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d590411-Reviews-Bcn_Urban_Hotels_Del_Comte-Barcelona_Catalonia.html,264,2.0,38,60,15,8,110
"Rambla Canaletes 125 , 08001 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d208591-Reviews-Hotel_Lloret_Ramblas-Barcelona_Catalonia.html,309,NaN,128,140,27,23,240
"Josep Trueta, 2 , Sant Joan Despi08970 Barcelona, ",https://www.tripadvisor.com/Hotel_Review-g187497-d228592-Reviews-Hesperia_Sant_Joan-Barcelona_Catalonia.html,262,3.0,62,106,10,8,133
"Santa Ana, 18-20 , 08002 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d232788-Reviews-Nouvel_Hotel-Barcelona_Catalonia.html,267,3.0,136,210,51,39,364
"C/ de la Diputacio, 100 , 08015 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d313044-Reviews-Leonardo_Hotel_Barcelona_Gran_Via-Barcelona_Catalonia.html,306,3.0,44,73,4,5,146
"Ecuador, 20 , 08029 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d206924-Reviews-NH_Barcelona_Entenza-Barcelona_Catalonia.html,282,3.0,16,18,5,0,44
"Carrer Doctor Trueta, 164 , 08005 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d1597580-Reviews-Hotel_4_Barcelona-Barcelona_Catalonia.html,308,4.0,123,243,25,22,322
"Aragon 569 Bis , 08026 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d228544-Reviews-Hotel_Catalonia_Sagrada_Familia-Barcelona_Catalonia.html,290,3.0,109,147,48,34,236
"Via Laietana, 3 , 08003 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d1485476-Reviews-Hotel_Colonial_Barcelona-Barcelona_Catalonia.html,299,4.0,108,145,28,21,205
"c/Rauric 14 , 08002 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d208593-Reviews-Hotel_California-Barcelona_Catalonia.html,277,3.0,54,95,10,11,182
"Joan Guell 207-211 , 08028 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d231504-Reviews-Aparthotel_Atenea-Barcelona_Catalonia.html,263,4.0,40,78,8,7,130
"Calle Corsega, 541-543 , 08025 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d601289-Reviews-Hotel_Sagrada_Familia-Barcelona_Catalonia.html,293,3.0,95,132,26,13,232
"Travessera de les Corts, 150-152 , 08020 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d206925-Reviews-NH_Barcelona_Stadium-Barcelona_Catalonia.html,258,4.0,38,85,14,5,124
"Avda Diagonal 205 , 08018 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d518349-Reviews-The_Gates_Diagonal_Barcelona-Barcelona_Catalonia.html,259,4.0,213,413,79,43,589
"Ramblas, 45 , 08001 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d250390-Reviews-Oriente_Atiram-Barcelona_Catalonia.html,252,3.0,210,383,62,53,545
"Carrer de Pelai 22-24 , 08001 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d232782-Reviews-Lleo_Hotel-Barcelona_Catalonia.html,250,3.0,101,269,30,25,359
"C/Cardenal Reig 11 , 08028 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d280923-Reviews-Senator_Barcelona_Spa_Hotel-Barcelona_Catalonia.html,301,NaN,150,193,55,41,261
"Ramon Turro 196-198 , 08005 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d1048732-Reviews-Ilunion_Barcelona-Barcelona_Catalonia.html,296,4.0,98,175,42,28,286
"Av. Paral.lel 57-59 , 08004 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d231502-Reviews-Tryp_Barcelona_Apolo_Hotel-Barcelona_Catalonia.html,311,4.0,438,573,151,91,891
"Zona Franca Calle K , 08040 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d227467-Reviews-Best_Western_Plus_Hotel_Alfa_Aeropuerto-Barcelona_Catalonia.html,291,4.0,116,171,56,43,248
"Plaza Levante, s/n , 08039 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d1223953-Reviews-Hotel_SB_Diagonal_Zero-Barcelona_Catalonia.html,294,4.5,175,274,59,41,385
"Paseo Taulat 278 , 08019 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d501108-Reviews-AC_Hotel_Barcelona_Forum_by_Marriott-Barcelona_Catalonia.html,249,4.0,184,267,51,37,372
"Plaza Cataluna 10 , Esquina con paseo de Gracia08002 Barcelona, ",https://www.tripadvisor.com/Hotel_Review-g187497-d12715685-Reviews-Iberostar_Paseo_de_Gracia-Barcelona_Catalonia.html,289,4.0,1,42,2,3,5
"Calle Balmes, 103-105 , Esquina Mallorca08008 Barcelona, ",https://www.tripadvisor.com/Hotel_Review-g187497-d596508-Reviews-Barcelona_Center_Hotel-Barcelona_Catalonia.html,275,4.0,68,232,18,11,274
"Passeig de Gracia 69 , 08008 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d2072667-Reviews-Majestic_Residence-Barcelona_Catalonia.html,180,NaN,9,82,3,0,43
"Calle Muntaner, 352 , 08021 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d259370-Reviews-Hotel_Rekord-Barcelona_Catalonia.html,228,4.0,13,60,5,0,44
"Napols, 116 , 08013 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d503272-Reviews-Aparthotel_Napols-Barcelona_Catalonia.html,199,2.0,17,36,3,2,57
"Avda. Paral lel, 172 , 08015 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d3226234-Reviews-HCC_Lugano-Barcelona_Catalonia.html,167,3.0,8,91,4,1,77
"Paseo Lluis Companys, 2 , Pujadas, 508018 Barcelona, ",https://www.tripadvisor.com/Hotel_Review-g187497-d610780-Reviews-La_Ciudadela-Barcelona_Catalonia.html,196,1.0,15,42,5,2,54
"Calle Boria, 24-26 , 08003 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d543388-Reviews-Mercer_House_Boria_BCN-Barcelona_Catalonia.html,247,4.0,21,96,9,12,64
"Travessera de Gracia 72 , 08006 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d1828529-Reviews-Catalonia_Barcelona_Golf-Barcelona_Catalonia.html,225,3.0,13,56,5,3,56
"Pau Claris, 122 , 08009 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d228512-Reviews-Renaissance_Barcelona_Hotel-Barcelona_Catalonia.html,205,5.0,135,542,40,27,481
"Carrer de Pelai 20 , 08001 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d228579-Reviews-Hotel_Atlantis_by_Atbcn-Barcelona_Catalonia.html,148,NaN,38,112,5,6,163
"Comte d'Urgell, 194 , Comte d'Urgell, 19408036 Barcelona, ",https://www.tripadvisor.com/Hotel_Review-g187497-d238722-Reviews-Acacia_Suites-Barcelona_Catalonia.html,128,4.0,8,61,3,4,38
"Gran Via de les Corts Catalanes 455 , 08015 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d10192947-Reviews-Hotel_Chi-Barcelona_Catalonia.html,241,NaN,9,24,0,3,25
"10 Th, Riera Blanca Street , 08903 Barcelona08903 Barcelona, ",https://www.tripadvisor.com/Hotel_Review-g187497-d634325-Reviews-Madanis_Hotel-Barcelona_Catalonia.html,190,4.0,25,85,3,3,75
"Rambla de Catalunya, 76 , 08008 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d280919-Reviews-Hotel_HCC_Regente-Barcelona_Catalonia.html,230,4.0,54,111,16,9,159
"Diputacio, 264 , 08007 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d258869-Reviews-HCC_St_Moritz-Barcelona_Catalonia.html,198,4.0,41,117,14,10,139
"C/ Gravina, 5 - 7 , 08001 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d206926-Reviews-Hotel_Reding_Croma-Barcelona_Catalonia.html,226,3.0,36,95,11,3,119
"Vilamari 34-36 , 08015 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d265742-Reviews-Hotel_Vilamari-Barcelona_Catalonia.html,220,4.0,63,128,14,8,172
"La Ramblas 70 , 08002 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d234568-Reviews-Flor_Parks_Hotel-Barcelona_Catalonia.html,216,3.0,40,93,18,6,138
"Sabino de Arana, 22-24 , 08028 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d1371392-Reviews-Catalonia_Rigoletto-Barcelona_Catalonia.html,173,4.0,26,119,11,11,95
"Pintor Fortuny 9 , 08001 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d232780-Reviews-Turin_Hotel-Barcelona_Catalonia.html,169,NaN,46,175,13,4,222
"Gran Via de les Corts Catalanes 670 , 08010 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d7690477-Reviews-Cotton_House_Hotel_Autograph_Collection-Barcelona_Catalonia.html,43,5.0,57,846,13,23,127
"Paseo de Gracia 46 , Principal - Main Floor08007 Barcelona, ",https://www.tripadvisor.com/Hotel_Review-g187497-d7905626-Reviews-Margot_House-Barcelona_Catalonia.html,197,3.0,5,72,1,1,5
"Carrer Tallers 66 , 08001 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d734757-Reviews-Hotel_Ciutat_Vella-Barcelona_Catalonia.html,229,3.0,34,78,9,6,83
"Avenida Diagonal 161-163 , 08018 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d254869-Reviews-Four_Points_by_Sheraton_Barcelona_Diagonal-Barcelona_Catalonia.html,158,3.0,75,394,17,24,429
"Carrer de Sicilia, 276 , 08013 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d1582547-Reviews-Hostemplo_Sagrada_Familia-Barcelona_Catalonia.html,203,3.5,18,66,6,4,63
"Avenida Diagonal, 555 , 08029 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d228554-Reviews-AC_Hotel_Diagonal_L_Illa-Barcelona_Catalonia.html,118,4.0,5,80,2,1,47
"Calle Beltran i Rozpide, 7-9 , (antes Avda. Pedralbes, 16)08034 Barcelona, ",https://www.tripadvisor.com/Hotel_Review-g187497-d228461-Reviews-AC_Hotel_Victoria_Suites-Barcelona_Catalonia.html,163,4.0,25,90,9,2,86
"Plaza Antonio Lopez 5 , 08002 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d8846187-Reviews-Duquesa_Suites_Barcelona-Barcelona_Catalonia.html,24,4.0,10,225,1,0,60
"Diputacio 195 , 08011 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d2278972-Reviews-Ako_Suite_Hotel-Barcelona_Catalonia.html,117,4.0,10,68,1,4,51
"Calle Roger de Lluria 28 , 08010 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d232774-Reviews-Hotel_Roger_De_Lluria-Barcelona_Catalonia.html,71,4.0,36,357,9,6,163
"Gran Via de les Corts Catalanes, 656 , 08010 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d275097-Reviews-Hotel_Acta_Atrium_Palace-Barcelona_Catalonia.html,164,4.0,100,673,38,22,500
"Av. Diagonal de Barcelona , Junto a la plaza de Francesc MaciaBarcelona, ",https://www.tripadvisor.com/Hotel_Review-g187497-d10902390-Reviews-Vincci_Mae-Barcelona_Catalonia.html,87,4.0,4,61,0,2,22
"Calle Mallorca 251 , Barcelona08008 Barcelona, ",https://www.tripadvisor.com/Hotel_Review-g187497-d228648-Reviews-Alexandra_Barcelona_Hotel_Curio_Collection_by_Hilton-Barcelona_Catalonia.html,168,4.0,178,651,59,41,484
"Mare de Deu de Bellvitge, 3 , 08907 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d655536-Reviews-NH_Barcelona_Fira_Suites-Barcelona_Catalonia.html,192,5.0,23,90,13,6,81
"Passeig de Gracia 75 , 08008 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d9587943-Reviews-Monument_Hotel-Barcelona_Catalonia.html,53,5.0,8,129,3,0,18
"C/ Castellnou 61 , 08017 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d228546-Reviews-Hotel_Catalonia_Castellnou-Barcelona_Catalonia.html,243,3.0,19,49,10,1,48
"C/ Aragon 591-593 , 08026 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d238748-Reviews-Catalonia_Albeniz-Barcelona_Catalonia.html,125,3.0,27,108,8,6,98
"Villarroel, 106 , 08011 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d313039-Reviews-Acevi_Villarroel-Barcelona_Catalonia.html,165,4.0,68,189,23,22,209
"San Fructuoso 64-74 , 08004 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d639129-Reviews-BCN_Montjuic_Aparthotel-Barcelona_Catalonia.html,239,3.0,9,27,1,3,27
"Av. Del Tibidabo, 1 , 08022 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d1077341-Reviews-Hotel_ABaC_Barcelona-Barcelona_Catalonia.html,16,5.0,7,245,6,4,35
"C/ Corcega 368 , 08037 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d228553-Reviews-Catalonia_La_Pedrera-Barcelona_Catalonia.html,202,4.0,51,79,20,7,109
"Carrer de Riudarenes, 7 , 08002 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d10279308-Reviews-The_Wittmore_Hotel-Barcelona_Catalonia.html,25,5.0,5,186,3,3,17
"Plaza Pio XII 4 , 08034 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d242975-Reviews-SOFIA_Hotel-Barcelona_Catalonia.html,28,5.0,0,46,0,1,8
"Calle Sicilia 255 , 08025 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d231514-Reviews-Hispanos_7_Suiza-Barcelona_Catalonia.html,105,4.0,24,287,3,2,135
"Loreto, 28 , 08029 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d289353-Reviews-Hotel_Gran_Derby_Suites-Barcelona_Catalonia.html,93,4.0,25,135,11,9,88
"Ribes, 71 , 08013 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d1218860-Reviews-Hotel_Teatre_Auditori-Barcelona_Catalonia.html,206,3.0,46,81,11,7,109
"Valldonzella, 5 , 08001 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d195260-Reviews-Meson_Castilla_Atiram-Barcelona_Catalonia.html,204,2.0,120,205,27,12,302
"Calle Princesa 50 , 08003 Barcelona08003 Barcelona, ",https://www.tripadvisor.com/Hotel_Review-g187497-d584668-Reviews-Chic_basic_Born_Boutique_Hotel-Barcelona_Catalonia.html,127,3.0,38,212,10,7,169
"Calle Arc del Teatre, 58 , 08001 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d1802185-Reviews-Hotel_Acta_Mimic-Barcelona_Catalonia.html,215,2.0,148,406,41,52,471
"Avda. de Roma 93-95 , 08029 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d483700-Reviews-Sercotel_Amister_Art_Hotel-Barcelona_Catalonia.html,155,4.0,55,218,17,8,231
"Manuel Girona, 7-21 , 08034 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d8875531-Reviews-Hotel_Upper_Diagonal-Barcelona_Catalonia.html,74,4.0,6,102,2,2,39
"C/ Doctor Carulla 25-29 , 08017 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d2367494-Reviews-Hotel_Primero_Primera-Barcelona_Catalonia.html,29,4.0,18,441,2,0,73
"Gran Via de les Corts Catalanes, 678 , 08010 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d1718864-Reviews-Grupotel_Gran_Via_678-Barcelona_Catalonia.html,151,4.0,49,237,8,3,204
"Corsega, 289 , 08008 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d10061941-Reviews-Ohla_Eixample-Barcelona_Catalonia.html,40,5.0,12,244,3,3,52
"Ronda Sant Pere, 32 , 08010 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d5416370-Reviews-Vincci_Gala_Barcelona-Barcelona_Catalonia.html,101,4.0,26,242,4,3,131
"Gran Via de les Corts Catalanes, 550 , 08011 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d3964699-Reviews-Hotel_Catalonia_Gran_Via_BCN-Barcelona_Catalonia.html,104,4.0,22,275,7,10,182
"C/ Tellinaires 33 - 35 , Gava08850 Barcelona, ",https://www.tripadvisor.com/Hotel_Review-g187497-d578531-Reviews-AC_Hotel_Gava_Mar-Barcelona_Catalonia.html,227,4.0,37,71,9,3,123
"Sant Sever, 5 , 08026 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d285998-Reviews-Hotel_Neri_Relais_Chateaux-Barcelona_Catalonia.html,27,5.0,32,547,15,14,124
"C/ Consell de Cent 51-53 , esq. C/ Béjar08014 Barcelona, ",https://www.tripadvisor.com/Hotel_Review-g187497-d609760-Reviews-Pestana_Arena_Barcelona-Barcelona_Catalonia.html,161,4.0,17,107,8,4,123
"C/ del Pi, 7 , 08002 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d231525-Reviews-H10_Raco_Del_Pi-Barcelona_Catalonia.html,201,3.0,76,362,26,17,322
"Ramblas 111 , 08001 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d229679-Reviews-Le_Meridien_Barcelona-Barcelona_Catalonia.html,124,5.0,216,1087,79,52,792
"Ronda Universitat 21 , 08007 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d483102-Reviews-H10_Universitat-Barcelona_Catalonia.html,150,4.0,91,500,39,28,417
"C/ Diputacion 250 , 08007 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d633625-Reviews-Petit_Palace_Museum_Hotel-Barcelona_Catalonia.html,96,4.0,56,299,22,13,244
"Passeig de Gracia, 38-40 , Mandarin Oriental, Barcelona08007 Barcelona, ",https://www.tripadvisor.com/Hotel_Review-g187497-d1456413-Reviews-Mandarin_Oriental_Barcelona-Barcelona_Catalonia.html,41,5.0,56,805,32,17,159
"Rambla del Raval, 4C , 08001 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d280859-Reviews-Abba_Rambla_Hotel-Barcelona_Catalonia.html,240,3.0,30,71,14,1,110
"11-13 Passeig de Pujades , 08018 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d13278183-Reviews-Motel_One_Barcelona_Ciutadella-Barcelona_Catalonia.html,113,NaN,0,26,0,1,11
"Valencia, 105-107 , 8011 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d232791-Reviews-NH_Barcelona_Eixample-Barcelona_Catalonia.html,233,3.0,56,83,19,6,125
"Poeta Cabanyes, 5-7 , 08004 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d231524-Reviews-Hotel_Paral_lel-Barcelona_Catalonia.html,146,2.0,80,248,28,11,259
"General Castanos 14 , 08003 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d232783-Reviews-Santa_Marta_Hotel-Barcelona_Catalonia.html,194,2.0,16,67,7,4,64
"C/ Lope de Vega, 141-147 , 08005 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d4714888-Reviews-The_Level_at_Melia_Barcelona_Sky-Barcelona_Catalonia.html,153,5.0,37,231,10,13,105
"Carrer de Corsega, 255 , 08036 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d2018633-Reviews-The_Mirror_Barcelona-Barcelona_Catalonia.html,130,4.5,48,359,18,17,247
"Carrer Rossello 205 , Eixample08008 Barcelona, ",https://www.tripadvisor.com/Hotel_Review-g187497-d1641168-Reviews-Room_Mate_Emma-Barcelona_Catalonia.html,80,3.0,27,330,9,5,227
"Plaza Carlos Ibanez 3 , 08038 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d626303-Reviews-Hotel_Miramar_Barcelona-Barcelona_Catalonia.html,182,5.0,42,330,31,35,170
"C/ Monlau 8 - 10 , 08027 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d2079966-Reviews-Hotel_Laumon-Barcelona_Catalonia.html,242,3.0,15,67,5,4,64
"La Rambla, 105 , 08001 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d1931533-Reviews-Hotel_Bagues-Barcelona_Catalonia.html,31,5.0,31,593,12,5,141
"Marina 306 , 08025 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d503258-Reviews-Apartaments_Marina-Barcelona_Catalonia.html,157,3.0,12,79,4,1,68
"Enric Granados, 83 , 08008 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d585139-Reviews-Hotel_Granados_83-Barcelona_Catalonia.html,57,4.0,63,628,21,12,296
"Estruc 24 - 26 , 08002 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d1207602-Reviews-Hotel_Denit_Barcelona-Barcelona_Catalonia.html,211,3.0,98,482,28,15,421
"Consell de Cent, 476 , 08013 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d1748447-Reviews-Hotel_Sant_Antoni-Barcelona_Catalonia.html,200,3.0,47,125,13,1,141
"13-17 Sagristans , 08002 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d229681-Reviews-Regencia_Colon_Hotel-Barcelona_Catalonia.html,236,3.0,68,184,29,5,281
"Gran Via de les Corts Catalanes, 629, Eixample , 08010 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d3356650-Reviews-Hotel_Indigo_Barcelona_Plaza_Catalunya-Barcelona_Catalonia.html,98,4.0,63,465,23,18,229
"c/ Provenca 195 , 08008 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d228653-Reviews-Hotel_America_Barcelona-Barcelona_Catalonia.html,100,4.0,9,99,5,1,41
"Passeig de Gracia 62 , 08007 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d1501787-Reviews-Sixtytwo_Hotel-Barcelona_Catalonia.html,13,4.0,41,734,14,8,238
"Carrer d'Aribau 54 , 08011 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d239542-Reviews-Hotel_Cram-Barcelona_Catalonia.html,174,4.0,51,266,33,12,233
"C/ Josep Pla 69 , 08019 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d2732635-Reviews-Vincci_Bit-Barcelona_Catalonia.html,141,4.0,64,286,14,11,248
"C/ Via Augusta, 5 , 08006 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d206935-Reviews-Hotel_Balmoral-Barcelona_Catalonia.html,210,4.0,66,181,27,18,182
"La Rambla 40 , 08002 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d237158-Reviews-Hotel_Cuatro_Naciones-Barcelona_Catalonia.html,209,2.0,70,181,13,9,251
"Calabria 90-92 , 08015 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d7806223-Reviews-TWO_Hotel_Barcelona_by_Axel-Barcelona_Catalonia.html,97,4.0,32,294,20,9,120
"Gran Via de les Corts Catalanes, 559 , 08011 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d614395-Reviews-H10_Casanova-Barcelona_Catalonia.html,111,4.0,75,626,25,12,460
"Rossello 265 , 08008 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d291444-Reviews-Hotel_Omm-Barcelona_Catalonia.html,49,5.0,72,583,31,16,270
"Avenida de Roma 22 , 08015 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d231520-Reviews-H10_Itaca_Hotel-Barcelona_Catalonia.html,184,4.0,84,289,26,13,294
"Enric Granados 62-64 , 08008 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d6510499-Reviews-H10_Art_Gallery-Barcelona_Catalonia.html,102,4.5,35,263,11,3,142
"Carrer Ausias March 34 , 08010 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d12211996-Reviews-Room_Mate_Gerard-Barcelona_Catalonia.html,52,4.0,8,76,2,0,25
