h_address,h_link,h_ranking_users,h_star,r_average,r_excellent,r_poor,r_terrible,r_very_good
"Avda. Cardenal Vidal i Barraquer, 15 , 08035 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d1509588-Reviews-Residencia_Salesiana_Marti_Codolar-Barcelona_Catalonia.html,384,NaN,16,8,4,4,31
"Caspe 1-13 , 08010 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d206927-Reviews-Barcelona_Atiram_Hotel-Barcelona_Catalonia.html,383,NaN,34,31,8,8,65
"Trav. de Gracia 441 , 08025 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d651628-Reviews-Hotel_Everest-Barcelona_Catalonia.html,381,NaN,6,15,3,7,26
"Espronceda, 6 , Diagonal Mar, Poblenou08005 Barcelona, ",https://www.tripadvisor.com/Hotel_Review-g187497-d228607-Reviews-NH_Hesperia_Barcelona_del_Mar-Barcelona_Catalonia.html,273,4.0,67,74,15,9,104
"Placa Sant Josep Oriol 1 , Barri Gòtic08002 Barcelona, ",https://www.tripadvisor.com/Hotel_Review-g187497-d236209-Reviews-El_Jardi-Barcelona_Catalonia.html,248,NaN,89,151,32,17,246
"Valencia, 194 , 08011 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d1153252-Reviews-Uma_Suites-Barcelona_Catalonia.html,126,4.0,12,104,9,3,57
"Rambla de Catalunya 1 , 08007 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d208589-Reviews-Hotel_Ginebra-Barcelona_Catalonia.html,137,NaN,14,155,2,7,64
"Comte Borrell 41 , 08015 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d1204654-Reviews-Suite_Dreams_Apts-Barcelona_Catalonia.html,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"Angel Guimera, 79-85 , 08017 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d1473017-Reviews-Residencia_Guri-Barcelona_Catalonia.html,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"Numancia, 185 , 8034 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d1185677-Reviews-Rentingflats-Barcelona_Catalonia.html,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"c/ Julia Portet 6, Entlo 1 , 08002 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d1509420-Reviews-Red_Apartment-Barcelona_Catalonia.html,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"Ronda de la Universitat , 8003 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d1227072-Reviews-Plaza_de_las_Ollas-Barcelona_Catalonia.html,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"Plaza Tetuan 8 , 08010 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d614991-Reviews-MH_Apartments_Tetuan-Barcelona_Catalonia.html,386,3.0,8,14,1,5,25
"Alaba, 94-96 , 08018 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d2327171-Reviews-NH_Barcelona_Diagonal_Center-Barcelona_Catalonia.html,257,3.5,39,64,16,9,103
"Duc, 15 , Ciutat Vella08002 Barcelona, ",https://www.tripadvisor.com/Hotel_Review-g187497-d230832-Reviews-Barcelona_Centro-Barcelona_Catalonia.html,166,3.0,153,651,23,16,697
